exer_id,knowledge_code
12215,[12]
12204,[12]
12664,"[2, 25, 45]"
3172,"[32, 2, 25]"
12640,"[2, 25, 45]"
12680,"[32, 2, 49, 25]"
3158,"[32, 2, 49, 25]"
11686,[10]
12186,[12]
12005,[10]
11689,[10]
12657,"[2, 25, 45]"
2983,"[32, 2, 50]"
11706,[10]
3163,"[32, 2, 25]"
12676,"[2, 25, 45]"
12677,"[2, 25, 45]"
2967,"[32, 2, 50]"
12672,"[2, 25, 45]"
11297,[82]
2791,"[7, 10]"
11346,[82]
11328,[82]
549,"[7, 9]"
2755,"[7, 10]"
540,"[7, 9]"
11345,[82]
538,"[7, 9]"
11133,[82]
530,"[7, 9]"
11108,[82]
11181,[82]
11137,[82]
2801,"[7, 10]"
11324,[82]
11078,[82]
3288,[83]
9557,[55]
8009,[42]
827,[98]
8026,[42]
4892,[50]
7685,[45]
9129,[54]
7749,[33]
9008,[54]
618,[38]
9409,"[52, 23]"
6713,"[47, 35, 36]"
3281,[83]
8725,[39]
5956,[26]
4631,[97]
5060,[19]
882,[98]
14347,[100]
1607,[81]
5721,[22]
4888,[50]
2819,"[7, 12]"
5755,[93]
1835,[82]
13928,[99]
497,[5]
10696,[80]
5750,[93]
6652,"[47, 35, 36]"
7627,[53]
14425,[100]
14460,[100]
884,[98]
6759,[21]
7883,[31]
4902,[30]
6627,"[47, 35, 36]"
1454,"[46, 56]"
8001,[42]
2827,"[7, 12]"
13922,[99]
5128,[19]
7169,[98]
883,[98]
6727,"[47, 35, 36]"
7678,[45]
13537,[30]
1339,[35]
8794,[39]
9180,[54]
6604,"[47, 35, 36]"
10716,[47]
3292,[83]
1482,[83]
7669,[45]
7946,[31]
3651,[48]
9049,[54]
9993,[79]
9245,[23]
7370,[31]
3220,[50]
13920,[99]
4426,[35]
1831,[82]
1609,[81]
7083,[47]
9115,[54]
9230,"[23, 44]"
7231,[31]
608,[38]
11305,[82]
10968,[80]
1222,[33]
234,"[41, 7]"
881,[98]
7074,[47]
14600,[100]
3116,"[7, 15]"
13988,[99]
3691,[31]
12018,[10]
2758,"[7, 10]"
10071,[79]
13797,[99]
3199,[50]
3867,"[33, 34]"
13820,[99]
1478,[83]
5805,[27]
7075,[47]
5079,[19]
5324,[30]
1558,[80]
7990,[42]
1235,[33]
5208,[18]
13940,[99]
5733,[93]
2833,"[7, 12]"
3571,[48]
607,[38]
8058,[42]
4855,[45]
8000,[42]
1446,"[38, 56]"
4466,[35]
7525,"[38, 56]"
7005,"[47, 40]"
845,[98]
2793,"[7, 10]"
1610,[81]
14590,[100]
2817,"[7, 12]"
8244,[30]
15476,[53]
