exer_id,correct_rate
1,0.5
2,0
3,0.2
4,0.5
5,0
6,0
7,0
8,0.6
9,0.12
10,0
11,0.25
12,0.11
13,0.33
14,0
15,0.25
16,0.75
17,0
18,0
19,0.2
20,0.4
21,0.14
22,0.5
23,0.5
24,0
25,0.8
26,0
27,0.2
28,0.4
29,0.6
30,0.38
31,0.5
32,0
33,0.33
34,0.61
35,0.93
36,0.4
37,0.22
38,0.11
39,0.08
40,0
41,0
42,0
43,0.5
44,0.62
45,0.75
46,0.75
47,0.27
48,0.55
49,0.44
50,0.3
51,0.17
52,0.38
53,0
54,0.2
55,0
56,0.27
57,0.3
58,0.45
59,0.5
60,0.5
61,0.62
62,0
63,0.12
64,0.75
65,0.81
66,0.8
67,0.63
68,0.66
69,0.76
70,0.58
71,0.77
72,0.6
73,0.73
74,0.66
75,0.64
76,0.7
77,0.75
78,0.59
79,0.81
80,0.67
81,0.59
82,0.8
83,0.65
84,0.73
85,0.65
86,0.71
87,0.7
88,0.7
89,0.7
90,0.78
91,0.69
92,0.76
93,0.58
94,0.74
95,0.6
96,0.67
97,0.94
98,0.56
99,0.55
100,0.7
101,0.38
102,0.58
103,0.7
104,0.67
105,0.4
106,0.53
107,0.81
108,0.57
109,0.62
110,0.72
111,0.29
112,0.58
113,0.88
114,0.9
115,0.76
116,0.75
117,0.38
118,0.46
119,0.8
120,0.64
121,0.95
122,0.71
123,0.65
124,0.91
125,0.5
126,0.87
127,0.5
128,0.75
129,0.87
130,0.91
131,0.5
132,0.69
133,0.5
134,0.43
135,0.75
136,0.9
137,0.31
138,0.75
139,0.76
140,0.94
141,0.47
142,0.56
143,1
144,0.56
145,0.67
146,0.61
147,0.71
148,0.75
149,0.7
150,0.7
151,0.43
152,0.65
153,0.67
154,0.5
155,0.75
156,0.67
157,0.67
158,0.67
159,0.55
160,0.45
161,0.42
162,0.55
163,0.62
164,0.5
165,0.94
166,0.62
167,0.64
168,0.33
169,0.67
170,0.89
171,0.4
172,0.43
173,0.5
174,0.9
175,0.53
176,0.67
177,0.33
178,0.8
179,0.55
180,0.54
181,0.2
182,0.5
183,0.41
184,0.44
185,0.85
186,0.72
187,0.5
188,0.25
189,0.5
190,0.5
191,0.33
192,0.29
193,0.4
194,1
195,0
196,0
197,0.5
198,0.5
199,0.33
200,1
201,0.67
202,0.8
203,0.4
204,0.57
205,0.5
206,1
207,1
208,0.5
209,0.6
210,1
211,0.4
212,0.75
213,0.5
214,1
215,0.69
216,0.67
217,0.88
218,0.8
219,0.78
220,0.65
221,0.75
222,0.65
223,0.81
224,0.94
225,0.9
226,0.84
227,1
228,0.91
229,0.74
230,0.8
231,0.89
232,0.89
233,0.86
234,0.78
235,0.81
236,0.81
237,0.91
238,1
239,0.81
240,0.8
241,0.89
242,0.85
243,0.89
244,0.8
245,0.43
246,0.75
247,0
248,0
249,0
250,1
251,0.67
252,0
253,0
254,0
255,0.5
256,0.5
257,0.75
258,0
259,0
260,0.67
261,0
262,0
263,0.8
264,0
265,0
266,0.67
267,0.5
268,0
269,0
270,0.67
271,0.33
272,0.33
273,0.67
274,1
275,0
276,1
277,0.77
278,0.33
279,0.33
280,0.33
281,0.67
282,0.33
283,1
284,0.62
285,0.33
286,0.67
287,0.17
288,0.4
289,0.8
290,0.67
291,1
292,1
293,0.71
294,1
295,1
296,0.6
297,1
298,0
299,0.67
300,0.67
301,0
302,0.57
303,0.67
304,1
305,1
306,0.75
307,0.5
308,0
309,0.5
310,0
311,1
312,0.4
313,0
314,1
315,1
316,0.78
317,0
318,0
319,0.8
320,1
321,1
322,0
323,0.7
324,1
325,0.67
326,0.71
327,0.75
328,1
329,0
330,1
331,0
332,0.8
333,0.5
334,0.86
335,0.2
336,0.67
337,1
338,0.5
339,0.33
340,0
341,0.6
342,1
343,0.5
344,0.25
345,1
346,0.7
347,1
348,0.83
349,0.29
350,1
351,1
352,0.33
353,0.67
354,0.33
355,0.67
356,1
357,0.78
358,1
359,0.6
360,0
361,0.6
362,0.33
363,0
364,0.67
365,0.83
366,0.71
367,0.2
368,0.5
369,1
370,1
371,0.7
372,0.67
373,0
374,0.5
375,0
376,1
377,0.56
378,1
379,1
380,0.6
381,0.75
382,0.6
383,0.91
384,0.67
385,0.75
386,0.4
387,1
388,1
389,1
390,0
391,0.75
392,1
393,0.67
394,0.5
395,0.44
396,0
397,0.33
398,0.5
399,0.75
400,0.33
401,0
402,0.5
403,0
404,1
405,1
406,0
407,0.33
408,0.22
409,0.57
410,0.5
411,0.67
412,0
413,1
414,0.8
415,0.8
416,0.2
417,0
418,0.5
419,0.29
420,0.2
421,1
422,1
423,1
424,0.43
425,0.75
426,1
427,1
428,0.67
429,1
430,0.6
431,0.25
432,0.33
433,0.71
434,1
435,0.75
436,1
437,0.33
438,0
439,0.75
440,0.71
441,1
442,1
443,0.67
444,0.67
445,0.67
446,1
447,0.62
448,0.33
449,1
450,0.86
451,0
452,0.25
453,0.5
454,1
455,0.67
456,0.5
457,0
458,0.8
459,1
460,1
461,1
462,0.75
463,0.82
464,0.67
465,0.71
466,0.33
467,0.6
468,0.75
469,0.5
470,1
471,0.5
472,1
473,1
474,0.67
475,0.75
476,0.6
477,0
478,1
479,0.6
480,0.67
481,0.33
482,0.2
483,0.33
484,0.8
485,0.71
486,0
487,0.67
488,0
489,1
490,0.5
491,0.33
492,0.67
493,1
494,0.67
495,0.88
496,0.94
497,1
498,0.94
499,1
500,0.93
501,0.9
502,0.78
503,0.88
504,0.9
505,0.88
506,1
507,0.95
508,0.95
509,0.89
510,0.96
511,1
512,0.86
513,1
514,0.88
515,1
516,0.83
517,0.82
518,0.89
519,0.94
520,0.96
521,0.76
522,0.84
523,1
524,0.94
525,1
526,0.52
527,0.5
528,0.67
529,0.74
530,0.6
531,0.58
532,0.62
533,0.78
